Approved,Title,Category,Status,Area,Question,Ask,Source,LastUpdated
yes,EMS and rural emergency response,EMS,Open,Reservation-wide,"Where are the longest EMS response gaps, and what long-term Cherokee-controlled options are being considered?","Request coverage maps, response-time data, funding agreements, ambulance locations, and written plans.","https://anadisgoi.com/",2026-06-13
yes,Housing and home repair backlog,Housing,Researching,Reservation-wide,"How many citizens are waiting for housing, rental support, accessibility improvements, or repair help?","Request program criteria, waitlist totals, completed projects by district, and funding by program.","https://www.hacn.org/",2026-06-13
yes,Language access and fluent-speaker growth,Language,Open,All communities,"Which actions most increase Cherokee language use, fluent speakers, teachers, and access for citizens?","Track immersion capacity, classes, teacher pipeline, technology tools, and district-level access.","https://language.cherokee.org/",2026-06-13
yes,Broadband and digital access,Broadband,Waiting on response,Rural communities,"Which communities still lack reliable internet and how are broadband funds being mapped?","Request project maps, grant reports, timelines, service availability, and public update schedule.","https://www.cherokee.org/",2026-06-13
yes,Water, air, and environmental protection,Environment,Open,Reservation-wide,"Are water quality, air quality, pesticides, brownfields, and environmental risks mapped in a way citizens can understand?","Request public GIS layers, testing data, permit comments, and district-level risk summaries.","https://www.cherokee.org/",2026-06-13
yes,State tax transparency in Indian Country,Tax / Sovereignty,Researching,Reservation-wide,"Which state taxes are being collected from Cherokee citizens or businesses inside the reservation, and what authority is claimed?","Track receipts, retailer responses, state guidance, tribal tax/license options, and written legal positions.","https://attorneygeneral.cherokee.org/legal-status-of-the-cherokee-nation-reservation/",2026-06-13
yes,Municipal agreements and cross-deputization,Public Safety,Open,Cities inside reservation,"Which city/county agreements affect Cherokee citizens, and are authority, training, fines, courts, and data-sharing transparent?","Request MOUs, cross-deputization terms, ticket procedures, fine handling, complaint processes, and renewal dates.","https://www.cherokee.org/all-services/office-of-the-marshal/public-safety/",2026-06-13
yes,At-large citizen access,At-large,Open,Outside reservation,"Do at-large citizens receive clear voting, services, records, and communication access?","Track ballot info, town halls, service eligibility, mailing updates, digital access, and official contact points.","https://cherokeesatlarge.org/",2026-06-13
yes,Education and tribal consultation,Education,Open,Schools and agencies,"Are schools and agencies making tribal consultation visible and useful to Cherokee citizens?","Request consultation notices, affected districts, signed affirmations, curriculum access, and compliance records.","https://www.cherokee.org/all-services/education-services/",2026-06-13
yes,Public records / FOIA-GRA transparency,Records,Open,Government-wide,"Can citizens easily find what records were requested, what was produced, what was denied, and what still needs follow-up?","Track requests, response dates, exemptions claimed, documents received, and next follow-up date.","https://attorneygeneral.cherokee.org/foia-gra-requests/",2026-06-13
yes,Voter registration and district awareness,Voting,Open,All citizens,"How many citizens know whether they are registered, what district they are in, and who represents them?","Direct citizens to official election resources and track public deadlines without collecting private voter documents.","https://election.cherokee.org/",2026-06-13
